launch_angle,launch_speed,av_xwOBAcon
-30,139,NA
-79,136,NA
-75,136,NA
-34,134,NA
-29,131,NA
-28,131,NA
-22,131,NA
-17,130,NA
-82,129,NA
-58,129,NA
-10,129,0.408
-59,128,NA
-8,127,NA
5,127,NA
78,125,NA
-8,124,0.408
-59,123,NA
-78,122,NA
-41,122,NA
-27,122,NA
-21,122,0.174
-19,122,NA
-4,122,0.49
0,122,0.553
21,122,NA
-69,121,NA
-36,121,NA
0,121,0.529
8,121,0.857
13,121,1.043
17,121,1.327
21,121,1.573
25,121,1.937
-17,120,0.227
-6,120,0.444
-4,120,0.465
-2,120,NA
0,120,0.509
3,120,0.636
5,120,0.717
7,120,0.799
8,120,0.838
13,120,1.011
24,120,NA
34,120,NA
68,120,NA
75,120,NA
-20,119,0.168
-17,119,0.216
-11,119,NA
-8,119,NA
-5,119,0.511
-4,119,0.465
-2,119,NA
-1,119,0.545
1,119,0.61
2,119,0.604
3,119,0.677
7,119,0.799
8,119,0.913
10,119,0.896
11,119,0.9
12,119,NA
13,119,0.984
14,119,NA
15,119,1.118
17,119,1.444
18,119,1.311
22,119,1.926
25,119,NA
36,119,NA
-20,118,NA
-16,118,0.356
-13,118,0.306
-10,118,0.318
-5,118,0.428
-3,118,0.491
-2,118,0.471
-1,118,0.504
2,118,0.573
3,118,0.624
4,118,0.726
5,118,0.692
6,118,0.73
7,118,0.713
8,118,0.781
9,118,0.818
10,118,0.903
11,118,0.947
12,118,0.96
13,118,1.008
16,118,1.185
17,118,1.29
18,118,1.405
20,118,1.673
23,118,1.91
24,118,1.869
26,118,1.968
27,118,1.967
28,118,1.968
29,118,1.997
-54,117,NA
-33,117,NA
-23,117,NA
-13,117,0.359
-10,117,0.336
-8,117,0.386
-7,117,0.427
-6,117,0.431
-5,117,0.414
-4,117,0.524
-3,117,0.492
-2,117,0.507
-1,117,0.512
0,117,0.524
1,117,0.574
2,117,0.575
3,117,0.62
4,117,0.651
5,117,0.728
6,117,0.805
7,117,0.734
8,117,0.764
9,117,0.817
10,117,0.845
12,117,0.977
13,117,1.009
14,117,1.034
15,117,1.07
16,117,1.152
17,117,1.362
18,117,1.431
19,117,1.501
20,117,1.682
21,117,1.762
22,117,1.883
23,117,1.891
24,117,1.928
25,117,1.985
26,117,1.909
27,117,2.005
28,117,NA
30,117,NA
31,117,NA
33,117,2.027
35,117,1.946
39,117,NA
-28,116,0.176
-23,116,0.163
-17,116,0.356
-15,116,0.3
-14,116,0.262
-13,116,0.302
-9,116,0.36
-8,116,0.378
-7,116,0.404
-6,116,0.403
-5,116,0.436
-4,116,0.453
-3,116,0.484
-2,116,0.486
-1,116,0.551
0,116,0.524
1,116,0.565
2,116,0.574
3,116,0.594
4,116,0.669
5,116,0.704
6,116,0.749
7,116,0.73
8,116,0.788
9,116,0.818
10,116,0.887
11,116,0.913
12,116,0.915
13,116,0.934
14,116,1.006
15,116,1.105
16,116,1.118
17,116,1.261
